application_number,examiner_id,au,app_filing_date,app_last_action_date,app_disposal_type,gender,race,examiner_earliest_date,processing_time,au_group,tenure,latest_action_date_x,latest_action_date_y,latest_action_date,degree,betweenness,closeness,degree_weighted_by_tenure,app_proc_time,num_applications
12257057,75209.0,179,2008-10-23,2016-06-06,PEND,female,Asian,2003-11-21,2783,179,4581,2017-05-23,2016-06-06,2016-06-06,,,,,2783,1
11322755,78051.0,179,2005-12-30,2010-06-09,ISS,female,white,2005-03-08,1622,179,4357,2017-05-23,2017-02-10,2017-02-10,0.007042253521126761,0.0,0.08275914479683857,4357.0,4060,2
11467964,98943.0,179,2006-08-29,2010-02-24,ISS,male,white,2000-01-03,1275,179,5567,2017-05-19,2015-04-01,2015-04-01,,,,,3137,2
09929733,63363.0,179,2001-08-14,2008-08-20,ISS,female,black,2000-01-07,2563,179,5402,2017-05-23,2014-10-22,2014-10-22,0.007042253521126761,0.0,0.0767754468971784,6287.0,4817,3
11123958,99300.0,162,2005-05-06,2009-12-04,ABN,male,white,2002-09-26,1673,162,5163,2017-05-19,2016-11-14,2016-11-14,,,,,4210,3
10371765,65567.0,162,2003-02-21,2017-03-17,ISS,male,white,2000-01-03,5138,162,6283,2017-04-28,2017-03-17,2017-03-17,,,,,5138,4
10857549,62010.0,179,2004-05-28,2007-10-22,ABN,female,Hispanic,2000-01-03,1242,179,3069,2017-05-22,2008-05-29,2008-05-29,,,,,1462,2
11199002,66582.0,179,2005-08-08,2010-01-04,ABN,male,white,2000-01-07,1610,179,4740,2017-05-05,2012-12-29,2012-12-29,0.014084507042253521,9.989012086704625e-05,0.014084507042253521,4788.0,2700,1
11118321,59771.0,179,2005-05-02,2008-10-15,ABN,male,white,2000-12-07,1262,179,5165,2017-05-19,2015-01-28,2015-01-28,0.04929577464788733,0.04175785423912484,0.1490737079061844,27797.0,3558,2
13102417,77046.0,179,2011-05-06,2013-07-31,ABN,female,white,2000-11-06,817,179,4650,2017-05-23,2013-07-31,2013-07-31,,,,,817,1
