application_number,advice_date,ego_examiner_id,alter_examiner_id
9665241,2008-01-30,60802.0,92028.0
9669833,2008-03-21,75775.0,69583.0
9669833,2008-03-21,75775.0,83794.0
9669833,2008-03-21,75775.0,70306.0
9669833,2008-03-21,75775.0,91151.0
9669833,2008-03-21,75775.0,71534.0
9670119,2008-04-18,68450.0,62033.0
9670119,2008-04-18,68450.0,98905.0
9670865,2008-05-29,97974.0,74747.0
9670865,2008-12-11,97974.0,74747.0
9670865,2008-05-29,97974.0,94120.0
9670865,2008-12-11,97974.0,94120.0
9670865,2008-05-29,97974.0,65231.0
9670865,2008-12-11,97974.0,65231.0
9671571,2008-11-28,75973.0,76536.0
9672154,2008-01-11,97974.0,96021.0
9672154,2008-07-09,97974.0,96021.0
9672154,2008-10-31,97974.0,96021.0
9672154,2008-01-11,97974.0,94753.0
9672154,2008-07-09,97974.0,94753.0
9672154,2008-10-31,97974.0,94753.0
9672204,2008-10-17,66685.0,64243.0
9672204,2008-10-17,66685.0,89752.0
9672204,2008-10-17,66685.0,67090.0
9676727,2008-05-29,96663.0,60986.0
9676727,2008-05-29,96663.0,66030.0
9676727,2008-05-29,96663.0,74063.0
9676727,2008-05-29,96663.0,64538.0
9678573,2008-04-07,75929.0,98108.0
9679320,2008-01-25,59397.0,62188.0
9679691,2008-07-09,84860.0,92464.0
9681585,2008-07-11,70581.0,59738.0
9681585,2008-07-11,70581.0,99004.0
9681585,2008-07-11,70581.0,96339.0
9681585,2008-07-11,70581.0,67256.0
9683599,2008-01-08,88496.0,60487.0
9683902,2008-02-27,60802.0,74333.0
9683995,2008-07-08,95000.0,62242.0
9688006,2008-07-09,96663.0,60986.0
9688006,2008-07-09,96663.0,74063.0
9688006,2008-07-09,96663.0,64538.0
9692350,2008-03-27,95938.0,67389.0
9692350,2008-03-27,95938.0,79585.0
9692350,2008-03-27,95938.0,70835.0
9694297,2008-03-12,90049.0,85057.0
9694297,2008-03-12,90049.0,69090.0
9695402,2008-12-11,99654.0,98738.0
9700099,2008-09-08,60837.0,63938.0
9700099,2008-09-08,60837.0,98804.0
9703034,2008-06-12,84460.0,69002.0
9704054,2008-06-12,73364.0,72814.0
9704054,2008-06-12,73364.0,98081.0
9704384,2008-06-13,90049.0,76536.0
9704384,2008-06-13,90049.0,62242.0
9707410,2008-01-22,77656.0,83334.0
9708722,2008-06-12,75772.0,59052.0
9708722,2008-06-12,75772.0,77746.0
9709170,2008-12-11,94257.0,77869.0
9709170,2008-12-11,94257.0,62312.0
9709170,2008-12-11,94257.0,63244.0
9709234,2008-01-09,72573.0,68460.0
9709234,2008-12-17,72573.0,98738.0
9709234,2008-12-17,72573.0,90049.0
9709234,2008-07-16,72573.0,90049.0
9709234,2008-12-17,72573.0,79585.0
9709532,2008-12-30,59391.0,64520.0
9709532,2008-12-30,59391.0,60838.0
9710646,2008-05-05,95600.0,90049.0
9714351,2008-06-13,61417.0,82244.0
9714351,2008-06-13,61417.0,72004.0
9714351,2008-06-13,61417.0,83224.0
9715725,2008-06-13,70204.0,72882.0
9715725,2008-06-13,70204.0,94911.0
9717019,2008-08-01,72573.0,71487.0
9717262,2008-12-05,99654.0,98738.0
9717529,2008-05-01,99182.0,97943.0
9717529,2008-05-01,99182.0,92201.0
9718355,2008-05-06,71120.0,65790.0
9718803,2008-03-26,59338.0,72882.0
9720537,2008-04-14,68425.0,62540.0
9722742,2008-12-12,60623.0,92464.0
9722742,2008-12-12,60623.0,81750.0
9725704,2008-03-19,65307.0,96510.0
9725704,2008-03-19,65307.0,78318.0
9727984,2008-11-03,66805.0,66400.0
9728073,2008-10-02,64473.0,89344.0
9728442,2008-03-14,97728.0,83961.0
9728442,2008-03-14,97728.0,77825.0
9728442,2008-03-14,97728.0,76549.0
9728442,2008-03-14,97728.0,90147.0
9729653,2008-01-24,61757.0,65024.0
9729653,2008-01-24,61757.0,72882.0
9731115,2008-07-24,65660.0,77244.0
9731917,2008-03-05,93725.0,76419.0
9731917,2008-03-05,99330.0,76419.0
9731917,2008-06-06,94646.0,92569.0
9731917,2008-06-06,90730.0,92569.0
9731917,2008-06-06,94646.0,76419.0
9731917,2008-06-06,90730.0,76419.0
9733185,2008-02-25,65307.0,65231.0
9734952,2008-02-06,69604.0,71487.0
9735919,2008-06-12,68593.0,60333.0
9735919,2008-11-14,68593.0,60333.0
9736232,2008-01-24,96663.0,69002.0
9736232,2008-10-07,96663.0,69002.0
9736232,2008-01-24,96663.0,68227.0
9736232,2008-10-07,96663.0,68227.0
9736232,2008-01-24,96663.0,95442.0
9736232,2008-10-07,96663.0,95442.0
9736232,2008-01-24,96663.0,96224.0
9736232,2008-10-07,96663.0,96224.0
9736232,2008-01-24,96663.0,89457.0
9736232,2008-10-07,96663.0,89457.0
9736232,2008-10-07,96663.0,80823.0
9736232,2008-01-24,96663.0,60986.0
9736232,2008-10-07,96663.0,60986.0
9736232,2008-01-24,96663.0,92569.0
9736232,2008-10-07,96663.0,92569.0
9736232,2008-01-24,96663.0,74063.0
9736232,2008-10-07,96663.0,74063.0
9736232,2008-01-24,96663.0,64538.0
9736232,2008-10-07,96663.0,64538.0
9736298,2008-02-20,94230.0,66096.0
9737050,2008-04-10,97703.0,60579.0
9737050,2008-04-10,97703.0,94120.0
9738292,2008-11-12,88496.0,75919.0
9738801,2008-02-04,76260.0,74747.0
9738801,2008-02-04,76260.0,94120.0
9738852,2008-03-12,95938.0,67389.0
9738852,2008-03-12,95938.0,92569.0
9739317,2008-06-16,63657.0,75753.0
9739317,2008-06-16,63657.0,92028.0
9739317,2008-06-16,63657.0,87028.0
9739397,2008-01-02,65885.0,70835.0
9740221,2008-02-08,75973.0,76536.0
9740221,2008-09-30,75973.0,76536.0
9740221,2008-09-30,75973.0,62242.0
9740345,2008-04-30,62778.0,99217.0
9740528,2008-05-13,72573.0,98738.0
9740528,2008-05-13,72573.0,71487.0
9743653,2008-07-10,60128.0,69459.0
9746270,2008-08-05,96764.0,67389.0
9746270,2008-08-05,96764.0,92921.0
9747691,2008-04-08,97146.0,72086.0
9747698,2008-11-07,88496.0,92464.0
9749106,2008-01-15,99952.0,78241.0
9749106,2008-01-15,99952.0,98437.0
9749826,2008-06-11,65307.0,74747.0
9750105,2008-07-21,74243.0,69922.0
9750105,2008-07-21,74243.0,65231.0
9750105,2008-07-21,65231.0,69922.0
9751059,2008-09-05,90588.0,62480.0
9752464,2008-01-24,67189.0,71985.0
9753086,2008-07-03,95600.0,76536.0
9753086,2008-07-03,95600.0,62242.0
9753141,2008-09-17,82418.0,91853.0
9755002,2008-01-09,94270.0,99319.0
9755002,2008-01-09,94270.0,81337.0
9755002,2008-01-09,94270.0,66927.0
